City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Ushuaia,AR,2020-04-19 05:53:19,-54.8,-68.3,44.6,75,40,16.11,scattered clouds,0.0,0.0
1,Hobart,AU,2020-04-19 05:53:21,-42.88,147.33,57.0,71,75,8.05,broken clouds,0.0,0.0
2,Rikitea,PF,2020-04-19 05:53:21,-23.12,-134.97,77.61,69,82,8.99,broken clouds,0.0,0.0
3,Vaini,TO,2020-04-19 05:51:02,-21.2,-175.2,78.8,78,40,10.29,smoke,0.0,0.0
4,Leningradskiy,RU,2020-04-19 05:50:38,69.38,178.42,4.48,89,20,7.56,few clouds,0.0,0.0
5,Busselton,AU,2020-04-19 05:48:42,-33.65,115.33,69.01,36,25,17.52,scattered clouds,0.0,0.0
6,Tuktoyaktuk,CA,2020-04-19 05:50:47,69.45,-133.04,-0.4,84,75,10.29,broken clouds,0.0,0.0
7,Nouadhibou,MR,2020-04-19 05:53:22,20.93,-17.03,62.6,88,0,10.29,clear sky,0.0,0.0
8,Churapcha,RU,2020-04-19 05:53:22,62.0,132.43,20.16,83,41,8.88,scattered clouds,0.0,0.0
9,Mount Gambier,AU,2020-04-19 05:52:04,-37.83,140.77,64.4,55,40,12.75,scattered clouds,0.0,0.0
10,Qaanaaq,GL,2020-04-19 05:53:22,77.48,-69.36,14.9,83,95,19.33,overcast clouds,0.0,0.0
11,Dikson,RU,2020-04-19 05:50:44,73.51,80.55,35.2,93,100,19.75,light rain,0.84,0.0
12,Tual,ID,2020-04-19 05:53:23,-5.67,132.75,84.72,70,100,5.28,moderate rain,3.94,0.0
13,Saldanha,ZA,2020-04-19 05:53:23,-33.01,17.94,59.0,87,96,10.29,overcast clouds,0.0,0.0
14,Yumen,CN,2020-04-19 05:51:42,40.28,97.2,60.24,17,54,21.77,broken clouds,0.0,0.0
15,Salinopolis,BR,2020-04-19 05:53:23,-0.61,-47.36,80.06,80,98,4.97,overcast clouds,0.0,0.0
16,Kupang,ID,2020-04-19 05:51:49,-10.17,123.58,89.6,70,40,9.17,scattered clouds,0.0,0.0
17,Karaton,ID,2020-04-19 05:53:24,-6.34,106.1,91.4,59,20,13.87,few clouds,0.0,0.0
18,Albany,US,2020-04-19 05:53:22,42.6,-73.97,28.0,89,0,5.35,clear sky,0.0,0.0
19,Pandan,PH,2020-04-19 05:53:24,14.05,124.17,84.6,72,84,11.25,broken clouds,0.0,0.0
20,Jamestown,US,2020-04-19 05:53:24,42.1,-79.24,44.01,64,1,10.29,clear sky,0.0,0.0
21,Chokurdakh,RU,2020-04-19 05:53:25,70.63,147.92,8.62,93,100,12.53,light snow,0.0,0.11
22,Bethel,US,2020-04-19 05:50:59,41.37,-73.41,34.0,92,1,6.55,clear sky,0.0,0.0
23,Lebu,CL,2020-04-19 05:51:07,-37.62,-73.65,53.2,90,78,1.45,broken clouds,0.0,0.0
24,Bambous Virieux,MU,2020-04-19 05:50:43,-20.34,57.76,80.6,61,20,12.75,few clouds,0.0,0.0
25,Goundi,TD,2020-04-19 05:53:25,9.36,17.37,87.96,38,98,2.19,overcast clouds,0.0,0.0
26,Duzce,TR,2020-04-19 05:53:26,40.84,31.16,65.32,41,23,1.68,few clouds,0.0,0.0
27,Abu Kamal,SY,2020-04-19 05:53:26,34.45,40.92,78.73,26,9,5.3,clear sky,0.0,0.0
28,Luderitz,NA,2020-04-19 05:51:15,-26.65,15.16,59.0,87,16,4.7,few clouds,0.0,0.0
29,Tuatapere,NZ,2020-04-19 05:53:26,-46.13,167.68,48.99,77,67,8.01,light rain,0.23,0.0
30,Taoudenni,ML,2020-04-19 05:51:02,22.68,-3.98,75.36,59,87,7.31,overcast clouds,0.0,0.0
31,Nikolskoye,RU,2020-04-19 05:53:27,59.7,30.79,39.0,88,90,6.71,overcast clouds,0.0,0.0
32,San Ramon,US,2020-04-19 05:52:41,37.78,-121.98,53.6,76,1,5.82,clear sky,0.0,0.0
33,Ahuimanu,US,2020-04-19 05:53:27,21.44,-157.84,80.6,54,1,8.05,clear sky,0.0,0.0
34,Kapaa,US,2020-04-19 05:51:11,22.08,-159.32,77.0,69,20,9.17,few clouds,0.0,0.0
35,Port Elizabeth,ZA,2020-04-19 05:50:08,-33.92,25.57,59.0,93,0,4.7,clear sky,0.0,0.0
36,Mount Isa,AU,2020-04-19 05:53:28,-20.73,139.5,93.2,17,44,5.82,scattered clouds,0.0,0.0
37,Hithadhoo,MV,2020-04-19 05:53:28,-0.6,73.08,84.6,73,49,10.63,scattered clouds,0.0,0.0
38,Mana,GF,2020-04-19 05:53:28,5.66,-53.78,76.77,91,95,5.77,light rain,0.47,0.0
39,Hilo,US,2020-04-19 05:53:29,19.73,-155.09,75.2,64,90,3.36,overcast clouds,0.0,0.0
40,Labuhan,ID,2020-04-19 05:51:23,-6.88,112.21,89.38,61,65,1.5,light rain,0.15,0.0
41,East London,ZA,2020-04-19 05:53:29,-33.02,27.91,66.2,68,0,10.29,clear sky,0.0,0.0
42,Muros,ES,2020-04-19 05:53:29,42.78,-9.06,48.0,95,0,3.42,clear sky,0.0,0.0
43,Mataura,NZ,2020-04-19 05:53:30,-46.19,168.86,48.99,77,57,8.01,light rain,0.37,0.0
44,Cape Town,ZA,2020-04-19 05:53:24,-33.93,18.42,57.2,93,20,5.82,few clouds,0.0,0.0
45,Grindavik,IS,2020-04-19 05:51:51,63.84,-22.43,37.4,100,90,9.17,light rain,0.0,0.0
46,Constanta,RO,2020-04-19 05:53:31,44.18,28.65,48.2,100,75,4.7,fog,0.0,0.0
47,Mount Pleasant,US,2020-04-19 05:51:36,32.79,-79.86,68.0,100,1,11.12,clear sky,0.0,0.0
48,Yellowknife,CA,2020-04-19 05:50:55,62.46,-114.35,30.2,80,40,20.8,scattered clouds,0.0,0.0
49,Castro,BR,2020-04-19 05:53:32,-24.79,-50.01,55.02,68,58,5.26,broken clouds,0.0,0.0
