,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,77.61,broken clouds,-23.12,-134.97,Pension Maro'i
3,Vaini,TO,78.8,smoke,-21.2,-175.2,Keleti Beach Resort
15,Salinopolis,BR,80.06,overcast clouds,-0.61,-47.36,Hotel Salinópolis
16,Kupang,ID,89.6,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
19,Pandan,PH,84.6,broken clouds,14.05,124.17,Bonifacio Lodge
24,Bambous Virieux,MU,80.6,few clouds,-20.34,57.76,Casa Tia Villa
25,Goundi,TD,87.96,overcast clouds,9.36,17.37,
27,Abu Kamal,SY,78.73,clear sky,34.45,40.92,
30,Taoudenni,ML,75.36,overcast clouds,22.68,-3.98,
33,Ahuimanu,US,80.6,clear sky,21.44,-157.84,Paradise Bay Resort
34,Kapaa,US,77.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
37,Hithadhoo,MV,84.6,scattered clouds,-0.6,73.08,Scoop Guest House
39,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
56,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
60,Itoman,JP,77.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
62,Kutum,SD,75.88,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
67,Beloha,MG,78.8,clear sky,-25.17,45.05,
79,Cockburn Town,TC,78.06,scattered clouds,21.46,-71.14,Osprey Beach Hotel
80,Gambo,CF,75.04,broken clouds,4.65,22.26,
95,Panama City,PA,78.01,broken clouds,8.99,-79.52,Trump International Hotel & Tower Panama
96,Victoria,HK,82.0,scattered clouds,22.29,114.16,Mini Hotel Central
101,Balabac,PH,87.82,clear sky,7.99,117.06,Sing and Swing Lodge
107,Isangel,VU,77.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
112,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
121,Atuona,PF,82.45,broken clouds,-9.8,-139.03,Villa Enata
125,Cayenne,GF,77.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
126,Carnarvon,AU,82.4,few clouds,-24.87,113.63,Hospitality Carnarvon
143,Plettenberg Bay,ZA,76.91,broken clouds,-34.05,23.37,Thanda Vista B&B
146,Bairiki,KI,84.2,shower rain,1.33,172.98,Tarawa Boutique Hotel
153,Geraldton,AU,77.0,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
156,Najran,SA,80.6,broken clouds,17.49,44.13,محمد هادي ال فطيح
157,Salalah,OM,84.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
160,Titay,PH,86.9,scattered clouds,7.81,122.53,Lumbia Garden Resort
161,Rayong,TH,89.55,broken clouds,12.83,101.43,Purimas Beach Hotel
167,Saint-Philippe,RE,82.4,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
168,Acapulco,MX,77.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
171,Macapa,BR,80.6,scattered clouds,0.04,-51.07,Atalanta Hotel
175,Manzanillo,CU,75.38,clear sky,20.34,-77.12,Adrian & Tonia
176,Itarema,BR,75.9,few clouds,-2.92,-39.92,Windvillage
179,Arlit,NE,82.54,few clouds,18.74,7.39,Hôtel Telwa Bungalow
181,Manta,EC,75.2,broken clouds,-0.95,-80.73,Balandra Hotel
191,Alofi,NU,80.6,clear sky,-19.06,-169.92,Taloa Heights
194,Quatre Cocos,MU,80.6,few clouds,-20.21,57.76,Veranda Palmar Beach Hotel
212,Ormara,PK,84.76,scattered clouds,25.21,64.64,
213,Port-Gentil,GA,80.6,few clouds,-0.72,8.78,Fengshui Residence
215,Kavaratti,IN,89.6,few clouds,10.57,72.64,Bismillah Hotel And Lodging
221,Mahebourg,MU,80.6,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
223,Ambilobe,MG,82.72,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
224,Lalmohan,BD,87.6,clear sky,22.34,90.74,Sundorbon courier service
234,Omboue,GA,79.09,scattered clouds,-1.57,9.26,Hotel Olako
237,Tuy Hoa,VN,87.71,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
247,Bengkulu,ID,88.32,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
249,Osmena,PH,85.91,clear sky,10.52,119.93,Arjemarkyza Lodge
256,Gigmoto,PH,82.81,broken clouds,13.78,124.39,Cj's Travellers Inn
258,Paracuru,BR,77.0,scattered clouds,-3.41,-39.03,Hotel VentoBrasil
260,Nishihara,JP,77.0,overcast clouds,26.18,127.76,Minshuku Agaihama
271,Thenzawl,IN,84.2,haze,23.32,92.75,Grace Indane Gramin Vitrak Godown
273,Sweetwater,US,77.0,mist,25.76,-80.37,Courtyard by Marriott Miami at Dolphin Mall
282,Vao,NC,77.31,clear sky,-22.67,167.48,Hotel Kou-Bugny
296,Neiafu,TO,82.4,scattered clouds,-18.65,-173.98,Mystic Sands
300,Caravelas,BR,75.47,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
307,Dwarka,IN,81.36,broken clouds,22.24,68.97,Hotel Narayan Avezika Comfort
309,Dosso,NE,81.9,clear sky,13.05,3.19,Hotel Toubal
314,Tanout,NE,78.28,clear sky,14.97,8.89,
339,Bowen,AU,89.6,clear sky,-20.02,148.23,Castle Motor Lodge Motel
340,Cap Malheureux,MU,80.6,few clouds,-19.98,57.61,Pereybere Hotel & Spa
349,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
351,Madimba,TZ,78.8,scattered clouds,-10.4,40.33,
353,The Valley,AI,79.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
361,Sulangan,PH,85.78,few clouds,11.14,123.72,
377,Wanning,CN,84.11,few clouds,18.8,110.4,Paradise Hotel
390,Doka,SD,86.34,broken clouds,13.52,35.77,
396,San Nicolas,PH,86.0,few clouds,18.17,120.6,SUNDAY COCOON GUEST HOUSE II
398,Cape Canaveral,US,75.2,clear sky,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
399,Kaka,TM,75.38,clear sky,37.35,59.61,
402,Hirara,JP,80.6,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
403,Noumea,NC,86.0,few clouds,-22.28,166.46,Hôtel Le Lagon
410,Port Augusta,AU,75.2,broken clouds,-32.5,137.77,Majestic Oasis Apartments
417,Kudahuvadhoo,MV,84.52,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
424,Eyl,SO,84.58,overcast clouds,7.98,49.82,Amiin Hotel
432,Loa Janan,ID,84.24,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
436,Gayeri,BF,82.85,broken clouds,12.65,0.49,
442,Grand Gaube,MU,80.6,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
447,Banda Aceh,ID,86.05,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
448,Marzuq,YE,80.67,broken clouds,14.4,46.47,
449,Balad,IQ,75.74,clear sky,34.02,44.15,محلة باب السور القديمة
452,Goure,NE,78.4,scattered clouds,13.98,10.27,
453,Souillac,MU,80.6,few clouds,-20.52,57.52,Bils' Villa
470,San Ignacio,BZ,75.99,broken clouds,17.16,-89.07,Rainforest Haven Inn
478,Falam,MM,85.53,few clouds,22.92,93.68,Falang Government Guesthouse
487,Bandarbeyla,SO,82.99,broken clouds,9.49,50.81,REER XOOSHLE GROUP
493,Dicabisagan,PH,84.94,few clouds,17.08,122.42,
504,Otjimbingwe,,75.67,scattered clouds,-22.35,16.13,
506,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
508,Soyo,AO,78.35,overcast clouds,-6.13,12.37,Hotel Mpampa
513,Sabang,ID,85.05,scattered clouds,5.89,95.32,Hotel Citra
527,Alyangula,AU,86.0,broken clouds,-13.85,136.42,Groote Eylandt Lodge
